,cnpj
401,82094673000112
402,47630401000199
403,82106766000110
404,22689106000187
405,6941862000103
406,12427591000167
407,18051923000138
408,18051924000182
409,22689964000121
410,18052225000157
411,8598756000196
412,8599174000124
413,8599228000151
414,22690647000125
415,6945418000158
416,18053007000137
417,22691035000157
418,18053805000169
419,18053997000103
420,18054789000129
421,6950887000165
422,6951715000106
423,22692712000151
424,22692960000100
425,18056070000127
426,8602186000160
427,2809166000189
428,22693734000136
429,18057074000120
430,8602954000186
431,6956110000108
432,18057461000166
433,8603161000181
434,8603351000107
435,8603381000105
436,18057999000170
437,18058000000108
438,18058294000178
439,8596935000194
440,22694941000105
441,8597357000100
442,18059198000144
443,6962122000145
444,6962878000194
445,2809911000190
446,8604718000107
447,18059972000117
448,47636165000118
449,18060349000184
450,18060492000176
451,47636641000109
452,22697642000124
453,6968332000221
454,2811359000174
455,18061342000187
456,22698078000164
457,6969848000100
458,22698250000180
459,18061736000135
460,22698422000115
461,22698431000106
462,8607824000136
463,8607836000160
464,8607951000216
465,22699000000164
466,18062262000146
467,6973622000182
468,2812921000184
469,8608908000194
470,18062799000106
471,18063478000126
472,8610267000102
473,2814877000141
474,2815015000133
475,22702163000159
476,6981790000110
477,10259778000173
478,81610214000181
479,2815879000155
480,7165480000190
481,400467000200
482,45738953000190
483,8614306000140
484,18066041000146
485,2817997000100
486,18066490000194
487,469148000331
488,473273000153
489,2818371000100
490,18067026000112
491,18067192000119
492,19974630000195
493,2818917000123
494,18067312000188
495,2819170000128
496,6995009000166
497,2819481000278
498,545047000130
499,6996026000118
500,18068030000103
501,18068456000159
502,7170647000100
503,18069387000106
504,586320000175
505,82132408000181
506,7000153000188
507,7000495000106
508,8618224000173
509,686409000103
510,18070969000102
511,7001890000103
512,7002684000100
513,7002724000113
514,18071621000121
515,7003280000130
516,720956000168
517,3147061000174
518,7173641000197
519,2820044000193
520,18074358000124
521,8619639000161
522,7008476000118
523,8620096000100
524,7010606000157
525,8620478000126
526,8620493000174
527,7010866000122
528,7011159000150
529,18076196000163
530,7012270000161
531,18077257000107
532,18077328000171
533,18077567000121
534,7014398000164
535,22995628000107
536,18078235000161
537,18078317000106
538,7176443000187
539,7015662000184
540,18078957000116
541,18079296000143
542,619753000180
543,12429336000153
544,18080046000123
545,8617424000101
546,20005481000135
547,2820555000105
548,8622001000180
549,18081998000161
550,2821310000100
551,2821361000124
552,18086886000101
553,2821524000179
554,2821572000167
555,7023879000136
556,18082390000151
557,7025311000154
558,8623916000100
559,2822764000198
560,18083758000104
561,7180930000113
562,2823724000160
563,18084036000166
564,8625231000100
565,7181482000172
566,18084517000171
567,2824514000197
568,7181945000104
569,7182099000139
570,18085067000131
571,2825428000107
572,18085444000132
573,18085888000178
574,7038200000182
575,7183828000171
576,13100663000120
577,18086677000150
578,2827715000148
579,2827837000134
580,7041612000171
581,8630135000142
582,8630860000110
583,8631027000194
584,8631474000143
585,2829832000140
586,8631937000177
587,817192000123
588,18089272000175
589,10263511000150
590,2831091000132
591,7051888000130
592,18090044000115
593,2831777000123
594,7190990000117
595,8627661000153
596,20020069000194
597,2832363000119
598,7056958000143
599,7057405000105
600,18091444000145
601,3136003000145
602,3138802000150
603,7194226000110
604,8640608000273
605,3141915000105
606,7071421000152
607,38194129000150
608,3144220000187
609,47648303000189
610,47637826000120
611,47637952000184
612,7076774000145
613,2833672000103
614,20008419000105
615,18096374000118
616,3148330000117
617,841654000148
618,2834730000113
619,3150892000103
620,18098363000177
621,8642966000134
622,47641084000106
623,47641275000178
624,47641300000113
625,1054285000106
626,18099074000192
627,18099700000140
628,47642685000133
629,7087944000197
630,39256816000116
631,47642949000159
632,8646046000194
633,8646399000194
634,8646644000163
635,2839156000196
636,8647764000185
637,8647777000154
638,2839321000100
639,2839341000180
640,47644164000115
641,45788101000107
642,47644354000132
643,2839484000192
644,2839579000106
645,18101267000130
646,8648964000152
647,2839919000107
648,47645257000164
649,3158137000167
650,18102001000102
651,47645859000111
652,20030867000105
653,3160030000153
654,47646022000197
655,3160821000183
656,18102476000107
657,18102819000125
658,3161810000118
659,3162474000128
660,7107173000152
661,2841904000175
662,2842150000178
663,8655436000120
664,20034579000110
665,18103535000153
666,20035480000133
667,7110440000140
668,2842615000190
669,47648222000189
